"Country","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
Burundi,8.28,7.39,11.02,5.96,7.99,4.86,8.73,10.17,12.97,14.66,17.38,21.37,25.44,26.52,37,49.02,45.31,49.92,74.12,94.08,116.14,120.9,126.25,147.43,148.54,143.74,196.56,201.54,202.15,203.48,259.11,252.38,306.43,214.16,307.09,285.17,106.17,52.64,64.54,72.96,93.12,139.6,171.99,227.14,356.75,363.96,430.89,479,522.24,561.37,629.94,578.99,0
Cambodia,26.29,26.97,22.16,23.45,13.71,11.23,11.33,13.94,10.23,12.7,20.13,41.45,67.15,145.68,307.98,81.93,0.87,0.36,0.29,107.99,268.67,112.45,35.89,39.03,21.81,13.84,15.31,16.62,20.27,24.72,41.31,89.71,207.63,304.11,331.05,553.99,423.17,334.69,346.32,277.28,395.32,421.13,489.24,519.49,490.5,550.92,530.27,664.21,766.52,709.41,732.32,809.53,0
Cameroon,0.38,7.12,9.45,8.7,27.76,32.28,48.59,38.11,50.72,40.16,69.67,59.33,84.51,73.54,71.46,146.65,156.45,220.17,254.69,368.45,367.72,319.66,264.18,162.21,242.73,216.47,287.99,316.16,359.49,631.47,607.17,711.3,1014.37,672.42,860.26,578.16,512.92,410.59,631,411.26,306.13,325.63,808.48,435.56,485.85,321.75,745.57,761.73,497.08,723.48,585.73,610.51,0
Cape Verde,0,2.72,0,0,0,0,2.41,0.71,0,0.01,0,0,0,0,0,8.65,23.97,26.06,35.06,32.48,61.84,48.69,58.41,60.31,61.27,65.55,105.21,84.98,81.33,82.53,103.93,99.78,114.57,112.94,117.78,115.8,116.01,109.69,128.22,134.15,92.15,76.47,91.21,146.78,142.91,168.85,137.46,162.42,225.78,222.45,344.41,339.34,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.84,3.47,1.8,1.55,-3.8,-1.26,0.49,5.42,2.43,6.16,19.08,-4.54,0.32,4.32,16.21,9.1,11.86,9.67,5.83,165.17,74.93,-0.11,16.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Rep.,0.03,0.42,1.14,1.88,16.79,15.78,15.66,20.57,17.29,19.81,14.38,15.55,26.65,26.6,36.58,56.3,38.02,45.25,50.89,83.49,110.28,101.18,92.39,100.68,133.99,111.92,142.4,183.08,205.03,187.06,251.64,174.66,179.98,171.63,162.45,169.97,163.02,91.75,117.73,117.1,73.95,76.18,59.66,51.15,109.83,88.9,134.43,172.88,256.6,240.77,240.08,274.2,0
Chad,0.03,3.26,5.52,5.46,16.55,18.27,19.01,19.83,21.74,24.63,22.26,30.51,31.53,55.88,85.75,67.51,62.9,81.52,123.04,84.62,35.72,59.69,64.15,87.34,110.21,177.08,160.31,201.56,260.45,250.11,310.47,261.7,235.99,223.44,212.27,237.21,292.88,229.62,173.9,187.16,130.36,199.06,236.43,276.05,343.11,379.93,278.4,362.4,397.76,556.11,521.26,486.01,0
Chile,18.39,121.24,138.38,146.89,133.86,120.65,153.79,105.23,168.91,131.74,101.14,30.97,49.67,87.87,218.94,172.21,-70.5,60.5,-15.55,-142.57,-44.62,-20.69,6.65,173.7,334.48,476.83,541.44,581.93,738.13,424.48,787.22,350.32,150,-8.77,170.1,-1627.37,-476.04,-305.32,333.62,-132.81,-207.58,173.06,-353.14,0.16,-428.39,28.55,141.19,39.88,581.88,844.49,961.55,447.49,0
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.85,508.45,472.74,546.33,807.22,1076.18,1387.05,1624.1,703.2,2885.3,3438.74,3296.5,2864.7,3907.95,5001.11,5568.72,7041.63,5748.34,4979.65,4680.37,2904,1160.59,2937.85,-46.63,-1903.18,2068.8,2092.52,2334.36,2380.34,3055.34,1427.15,2922.55,757.74,0
Chinese Taipei,105.48,113.58,77.55,76.13,51.29,67.45,82.31,85.95,92.22,90.49,75.55,96.98,78.74,104.62,141.18,137.69,68.54,113.59,37.23,156.7,388.54,223.97,109.27,-3.67,-145.38,-281.74,-316.41,-1020.85,-18.28,30.21,24.63,1.39,-54.28,59.58,-14.87,10.12,24.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
